Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Canada,2000,Diabetes,Genetic,5.96,3.05,0.99,0-18,Other,347395,52.96,4.49,9.91,Therapy,13628,Yes,62.67,573,5.75,58271,0.53,70.07
South Korea,2008,Diabetes,Neurological,9.05,10.36,3.69,0-18,Other,925988,63.94,4.74,1.16,Medication,37644,No,98.9,1122,0.25,79980,0.68,60.96
UK,2002,Diabetes,Metabolic,19.6,10.6,9.04,19-35,Male,659596,60.52,2.14,6.36,Vaccination,16483,No,65.63,4348,6.36,66007,0.58,81.41
Brazil,2024,Diabetes,Neurological,17.79,6.69,5.82,19-35,Male,220666,91.15,3.23,2.88,Surgery,20646,No,67.8,1597,2.66,4819,0.75,78.27
Canada,2012,Diabetes,Neurological,11.44,14.65,9.78,19-35,Other,905278,51.0,3.42,1.35,Vaccination,43595,Yes,90.06,3170,8.84,72353,0.47,37.66
China,2010,Diabetes,Cardiovascular,8.92,14.66,3.42,19-35,Male,315502,57.8,2.31,9.23,Surgery,8792,No,81.38,3660,7.5,15095,0.72,48.86
South Korea,2024,Diabetes,Infectious,1.25,14.85,2.78,61+,Other,913364,69.63,3.07,5.78,Vaccination,8691,Yes,98.54,683,7.29,76497,0.41,89.94
Argentina,2014,Diabetes,Viral,17.68,8.37,2.69,0-18,Male,322922,90.55,4.12,9.37,Medication,46278,No,86.69,4622,4.72,60215,0.85,88.16
USA,2018,Diabetes,Bacterial,10.71,11.36,9.67,36-60,Other,185912,88.11,1.11,5.38,Vaccination,32833,Yes,67.14,260,8.6,10399,0.46,76.27
Indonesia,2018,Diabetes,Chronic,7.31,11.08,7.25,0-18,Other,358848,73.05,3.86,9.72,Vaccination,45610,No,73.13,2973,7.36,29948,0.65,26.63
Saudi Arabia,2005,Diabetes,Cardiovascular,1.43,11.64,2.5,61+,Other,347596,74.63,0.79,7.37,Therapy,6607,No,73.82,3549,7.87,19819,0.89,32.15
China,2016,Diabetes,Respiratory,10.46,6.4,6.59,36-60,Other,735620,95.21,0.96,6.53,Surgery,49640,Yes,74.88,3189,5.55,41921,0.6,65.49
USA,2019,Diabetes,Respiratory,14.26,4.66,5.06,0-18,Female,739775,54.74,4.85,8.85,Vaccination,42593,Yes,86.63,2633,5.15,36245,0.52,20.62
China,2008,Diabetes,Viral,2.23,0.75,5.13,19-35,Female,103643,50.08,1.84,6.46,Therapy,13713,No,78.86,1691,7.34,60966,0.61,58.6
Argentina,2002,Diabetes,Neurological,8.84,11.9,7.95,61+,Female,637497,97.41,3.83,2.6,Medication,32410,Yes,98.21,288,9.73,32239,0.75,58.78
Japan,2016,Diabetes,Cardiovascular,17.24,2.8,1.01,19-35,Male,126019,53.53,3.58,4.84,Therapy,32775,Yes,81.24,58,3.02,80464,0.64,34.16
South Africa,2010,Diabetes,Parasitic,19.99,14.89,3.66,61+,Female,994982,53.55,2.52,5.11,Surgery,44346,No,58.77,4923,1.29,75142,0.46,22.84
Turkey,2021,Diabetes,Parasitic,12.79,10.02,0.27,36-60,Male,911211,63.07,2.55,1.52,Therapy,28121,Yes,54.85,2515,2.71,91633,0.42,76.98
Germany,2023,Diabetes,Neurological,17.06,8.16,4.67,0-18,Male,602186,98.32,4.16,8.87,Therapy,32670,Yes,72.87,3890,4.56,33944,0.64,37.75
Nigeria,2024,Diabetes,Infectious,14.56,14.01,9.57,36-60,Male,924873,69.72,2.93,3.02,Therapy,16793,Yes,74.14,1872,9.45,90679,0.88,57.98
Argentina,2010,Diabetes,Cardiovascular,6.18,9.91,5.59,0-18,Other,395232,92.93,4.17,1.84,Vaccination,7089,Yes,91.88,3929,9.43,44203,0.68,63.18
Argentina,2004,Diabetes,Cardiovascular,3.09,10.63,0.84,19-35,Male,509294,87.28,4.74,4.71,Therapy,48223,No,54.57,2570,2.68,42105,0.83,23.89
Nigeria,2003,Diabetes,Metabolic,9.56,10.4,4.07,36-60,Female,389988,53.69,4.49,8.51,Vaccination,10006,No,97.38,360,1.83,18205,0.67,24.11
South Africa,2014,Diabetes,Viral,5.7,7.05,0.29,0-18,Male,889039,58.48,3.34,6.51,Surgery,35764,No,88.07,4618,7.15,14780,0.79,45.48
Mexico,2014,Diabetes,Respiratory,19.97,14.77,9.35,61+,Male,80302,51.88,4.13,1.75,Medication,32987,Yes,58.03,46,0.33,23009,0.83,54.92
Russia,2002,Diabetes,Metabolic,11.05,5.15,5.82,19-35,Male,10645,66.29,4.05,2.24,Therapy,12708,No,82.66,4059,1.26,23862,0.81,63.4
Nigeria,2019,Diabetes,Metabolic,5.89,8.97,8.15,36-60,Other,893084,79.53,1.75,1.67,Vaccination,26885,Yes,83.81,1015,4.58,91267,0.88,62.61
UK,2023,Diabetes,Parasitic,14.1,8.15,7.48,36-60,Other,956633,99.38,3.43,8.02,Medication,16645,No,56.39,3719,2.79,38940,0.53,87.09
USA,2023,Diabetes,Metabolic,5.47,0.18,1.65,0-18,Other,40774,84.14,4.47,7.84,Therapy,37764,No,91.04,1821,7.0,519,0.65,88.71
Saudi Arabia,2001,Diabetes,Metabolic,4.24,3.88,8.28,19-35,Female,407597,94.14,2.02,9.79,Medication,15492,No,78.91,3168,1.92,82349,0.51,56.3
Australia,2016,Diabetes,Cardiovascular,19.26,0.79,7.9,19-35,Female,244306,84.67,2.29,5.28,Vaccination,49885,Yes,98.92,2344,4.83,55335,0.88,22.33
Australia,2010,Diabetes,Neurological,5.57,3.6,1.59,61+,Other,982892,71.04,0.55,7.55,Medication,3266,No,60.62,541,7.12,79289,0.89,85.46
South Korea,2020,Diabetes,Genetic,17.88,12.12,4.41,0-18,Male,81026,82.22,1.33,2.0,Medication,19113,Yes,72.85,2859,7.01,60808,0.85,36.46
Nigeria,2002,Diabetes,Neurological,7.94,13.32,0.83,36-60,Male,520886,64.55,2.54,4.37,Surgery,43398,No,87.82,901,0.36,85176,0.74,44.25
USA,2015,Diabetes,Viral,16.65,4.05,5.69,19-35,Female,967930,51.89,4.04,0.83,Vaccination,24099,Yes,73.69,4651,7.01,15886,0.69,86.27
Germany,2015,Diabetes,Parasitic,14.69,9.87,8.66,0-18,Male,211819,55.05,0.65,2.91,Vaccination,29415,Yes,64.5,1339,5.5,65674,0.75,63.27
Saudi Arabia,2020,Diabetes,Autoimmune,5.31,2.45,0.39,61+,Female,657076,98.38,3.09,9.62,Vaccination,12291,No,87.17,3248,8.36,58640,0.5,21.23
Italy,2007,Diabetes,Metabolic,12.13,4.7,5.95,0-18,Female,445668,62.42,1.4,9.35,Medication,7983,No,62.44,1376,6.2,80547,0.69,35.1
France,2010,Diabetes,Metabolic,3.72,6.5,5.51,61+,Other,949650,82.83,3.36,7.24,Therapy,8983,No,91.01,3512,5.13,55691,0.88,81.38
China,2014,Diabetes,Chronic,13.91,14.13,8.39,61+,Female,606879,57.47,3.82,6.61,Surgery,12788,Yes,96.09,3447,9.14,92743,0.87,68.49
Indonesia,2016,Diabetes,Infectious,19.08,4.83,6.82,19-35,Female,366889,88.16,1.65,8.64,Vaccination,16220,No,86.52,4635,9.42,28421,0.66,59.85
Germany,2002,Diabetes,Cardiovascular,3.93,10.91,1.48,36-60,Male,875389,69.66,1.33,5.27,Medication,1265,No,84.72,3015,2.67,38091,0.47,52.64
South Africa,2010,Diabetes,Parasitic,16.1,4.21,7.04,0-18,Female,2501,68.72,2.69,1.72,Therapy,32371,No,91.57,294,1.58,33256,0.5,80.22
Italy,2014,Diabetes,Infectious,12.77,2.11,7.08,19-35,Female,969012,56.78,1.35,7.32,Vaccination,41873,Yes,97.53,2345,7.33,48600,0.84,79.41
Russia,2021,Diabetes,Parasitic,2.99,1.02,3.52,19-35,Female,827513,73.49,1.95,4.55,Therapy,4188,No,77.27,2166,3.91,43765,0.43,23.96
USA,2008,Diabetes,Cardiovascular,12.64,11.13,7.88,19-35,Female,44929,79.0,4.78,2.94,Vaccination,13561,Yes,91.77,3778,7.44,92699,0.61,85.28
Germany,2021,Diabetes,Metabolic,13.34,5.69,9.27,19-35,Male,555276,63.96,1.78,1.68,Vaccination,21484,Yes,70.13,4550,4.56,30997,0.9,23.72
Canada,2002,Diabetes,Bacterial,9.96,14.13,4.12,61+,Female,566711,53.26,2.2,5.88,Vaccination,16447,Yes,87.2,3581,8.51,71194,0.6,58.49
Italy,2002,Diabetes,Neurological,1.9,2.58,1.32,61+,Other,852235,71.78,0.94,1.95,Surgery,30830,No,83.19,1492,7.99,99743,0.42,48.6
USA,2004,Diabetes,Bacterial,14.82,4.57,4.56,19-35,Male,188482,68.55,1.75,9.22,Medication,13627,No,82.15,189,4.19,99396,0.76,23.23
Japan,2003,Diabetes,Metabolic,2.17,12.76,1.29,0-18,Female,648017,61.16,2.73,6.58,Therapy,49098,No,72.35,1440,9.07,24398,0.52,27.41
Turkey,2005,Diabetes,Viral,9.84,8.15,5.24,61+,Other,225301,59.08,4.92,6.19,Surgery,49858,No,83.19,4173,6.58,825,0.89,52.7
USA,2006,Diabetes,Cardiovascular,14.58,12.63,2.19,61+,Female,730291,52.06,3.95,0.75,Therapy,35102,No,51.44,1980,0.58,20553,0.75,76.48
China,2024,Diabetes,Autoimmune,18.63,7.22,8.77,0-18,Other,393875,81.71,3.82,6.28,Medication,45185,No,83.64,78,6.76,3640,0.5,46.8
France,2010,Diabetes,Neurological,2.55,13.92,7.42,61+,Other,494506,74.95,2.09,2.5,Surgery,14664,No,65.82,2205,2.7,46123,0.86,80.19
Nigeria,2015,Diabetes,Neurological,11.89,1.09,2.84,36-60,Male,969736,56.27,4.07,3.93,Surgery,38477,Yes,91.11,934,5.3,9808,0.89,20.53
Germany,2013,Diabetes,Parasitic,7.56,14.5,6.76,19-35,Male,531368,63.25,2.2,8.93,Therapy,27423,No,77.49,4725,2.66,7073,0.82,84.15
Russia,2011,Diabetes,Respiratory,17.07,2.06,1.41,19-35,Male,159833,89.06,3.4,3.48,Surgery,21212,Yes,76.09,2630,1.99,16092,0.53,86.39
Nigeria,2005,Diabetes,Genetic,8.73,8.66,9.19,19-35,Other,768120,88.98,2.91,3.02,Medication,1275,No,76.05,950,9.53,23543,0.62,77.9
South Korea,2018,Diabetes,Autoimmune,1.74,9.64,2.75,61+,Female,215335,72.01,1.41,8.91,Therapy,4284,Yes,87.03,427,1.22,34878,0.48,62.85
Nigeria,2023,Diabetes,Viral,7.92,12.83,1.36,19-35,Male,491708,65.77,4.23,6.84,Surgery,40554,Yes,95.04,507,2.37,79860,0.75,29.72
China,2006,Diabetes,Chronic,14.54,5.05,5.54,36-60,Male,734604,60.08,3.88,1.74,Surgery,20052,No,69.0,2591,6.97,41229,0.53,70.15
Saudi Arabia,2007,Diabetes,Respiratory,10.33,6.43,3.0,61+,Other,16997,76.56,3.9,9.55,Therapy,20087,Yes,76.42,4013,7.63,98814,0.79,39.18
Argentina,2023,Diabetes,Cardiovascular,9.82,0.92,2.71,61+,Female,218402,67.04,2.09,5.67,Therapy,9200,No,96.23,513,3.03,53616,0.5,62.84
Italy,2017,Diabetes,Viral,14.02,0.46,7.6,0-18,Male,929561,86.3,1.94,0.51,Vaccination,7302,Yes,75.03,2010,5.36,85155,0.67,55.7
South Korea,2021,Diabetes,Genetic,1.48,14.95,7.79,36-60,Female,982828,69.98,4.17,9.9,Vaccination,45779,No,76.43,1102,2.3,46773,0.72,72.9
USA,2020,Diabetes,Neurological,10.8,10.46,2.9,19-35,Other,784425,69.91,3.57,2.29,Therapy,27972,Yes,66.09,2886,9.73,33297,0.42,55.18
India,2010,Diabetes,Cardiovascular,18.27,5.6,0.3,0-18,Other,710814,58.09,0.92,7.18,Medication,39469,No,82.15,2114,9.85,77279,0.81,55.57
Germany,2004,Diabetes,Bacterial,0.56,11.93,6.13,36-60,Other,18305,53.79,2.27,9.13,Medication,49650,No,66.01,3143,9.67,71957,0.76,34.23
South Korea,2020,Diabetes,Genetic,15.8,1.47,1.55,0-18,Female,451047,64.4,2.83,0.79,Therapy,20272,Yes,65.24,881,2.54,38386,0.47,72.44
Italy,2002,Diabetes,Respiratory,19.92,1.26,9.08,36-60,Male,76590,58.71,4.01,1.92,Vaccination,8445,Yes,83.17,3776,5.47,57924,0.58,87.55
Nigeria,2014,Diabetes,Genetic,3.77,9.76,6.77,19-35,Male,561403,50.59,2.4,8.65,Vaccination,11159,Yes,95.54,230,9.06,36748,0.58,64.97
Indonesia,2009,Diabetes,Neurological,1.75,3.96,5.38,36-60,Male,604566,70.87,3.82,2.74,Vaccination,2719,Yes,97.82,2838,2.54,12261,0.8,51.95
Russia,2016,Diabetes,Respiratory,13.36,4.43,9.34,19-35,Female,194565,65.26,3.97,8.98,Vaccination,17989,No,54.23,3500,1.18,31534,0.61,43.85
Japan,2000,Diabetes,Genetic,13.34,14.06,6.84,61+,Other,543825,65.63,3.17,1.71,Vaccination,13445,No,61.65,1350,3.1,44550,0.64,60.13
Germany,2003,Diabetes,Viral,17.92,6.59,9.85,36-60,Male,370958,84.16,0.98,3.34,Surgery,4202,Yes,55.47,4673,0.08,77821,0.51,22.87
Saudi Arabia,2003,Diabetes,Metabolic,6.7,2.45,7.6,61+,Female,123687,69.03,4.89,6.32,Therapy,19193,No,65.62,4171,0.37,79371,0.61,21.03
Australia,2021,Diabetes,Genetic,8.03,13.29,0.4,0-18,Male,233505,76.76,2.17,7.85,Therapy,19209,No,88.65,4873,2.07,34205,0.55,56.7
UK,2024,Diabetes,Metabolic,1.89,4.54,6.58,19-35,Male,27709,86.35,0.75,5.15,Medication,5329,No,70.67,4577,4.46,99346,0.45,31.84
Canada,2024,Diabetes,Chronic,3.5,10.51,3.17,61+,Other,260890,95.63,3.18,7.33,Medication,12845,No,71.15,3030,9.56,31257,0.49,34.58
Australia,2014,Diabetes,Parasitic,3.32,4.09,9.34,19-35,Other,764086,66.36,1.0,1.81,Surgery,9866,No,51.84,2855,5.64,76345,0.7,47.21
Australia,2011,Diabetes,Infectious,6.93,10.58,7.77,36-60,Female,696946,83.45,3.45,0.66,Therapy,49109,Yes,96.39,1736,0.28,55828,0.66,33.4
South Korea,2016,Diabetes,Viral,8.46,1.54,7.11,19-35,Female,799649,73.68,3.18,6.98,Therapy,45348,Yes,62.77,2354,7.04,16512,0.64,84.81
South Africa,2011,Diabetes,Neurological,3.99,10.53,5.26,0-18,Male,150134,99.96,4.74,2.37,Medication,6640,No,66.81,2324,6.46,37665,0.67,40.24
Italy,2006,Diabetes,Autoimmune,5.06,8.21,2.29,61+,Male,852939,82.43,4.33,8.98,Therapy,25595,Yes,57.42,4888,4.12,39535,0.49,70.84
USA,2002,Diabetes,Bacterial,13.44,5.78,8.83,61+,Male,50629,63.6,1.53,8.85,Vaccination,38032,No,91.35,4500,6.39,68906,0.53,87.43
UK,2018,Diabetes,Chronic,8.24,2.49,2.83,0-18,Male,139082,53.69,2.37,7.46,Therapy,10076,Yes,73.92,1377,5.09,61308,0.59,22.05
Argentina,2022,Diabetes,Cardiovascular,0.35,3.45,2.85,19-35,Female,939868,60.65,1.6,7.04,Medication,3959,Yes,50.68,4007,5.7,17010,0.75,78.32
Australia,2010,Diabetes,Cardiovascular,9.2,1.76,9.72,19-35,Male,115118,57.87,4.22,9.86,Medication,122,No,91.06,475,9.37,86003,0.78,36.71
Australia,2004,Diabetes,Cardiovascular,7.31,12.0,6.74,36-60,Other,174380,92.98,2.15,9.69,Vaccination,13648,No,65.44,821,1.09,80868,0.54,56.1
India,2006,Diabetes,Autoimmune,0.36,6.51,9.37,36-60,Other,312636,64.19,3.96,2.33,Therapy,22654,No,53.36,1815,2.28,61619,0.81,66.99
Japan,2016,Diabetes,Parasitic,6.15,12.11,3.41,61+,Other,885849,55.53,3.99,5.26,Vaccination,24747,Yes,94.34,787,4.61,94947,0.85,56.67
South Africa,2008,Diabetes,Infectious,16.1,3.37,0.68,61+,Other,797712,66.55,1.02,3.82,Surgery,255,No,86.3,4647,2.67,61637,0.52,53.7
Indonesia,2013,Diabetes,Genetic,8.31,8.34,6.87,61+,Female,704632,74.62,4.17,6.47,Vaccination,455,No,60.43,2572,9.92,37682,0.74,67.85
India,2004,Diabetes,Genetic,4.58,10.0,0.73,19-35,Female,957272,91.95,3.47,8.98,Surgery,27151,Yes,61.7,3119,3.39,74565,0.74,52.6
South Korea,2014,Diabetes,Neurological,17.03,0.42,5.89,36-60,Male,87948,51.56,1.18,5.38,Vaccination,19113,Yes,84.15,2039,8.92,11465,0.61,82.65
China,2018,Diabetes,Cardiovascular,11.13,5.42,8.98,19-35,Other,532608,54.39,2.85,3.93,Therapy,36368,No,61.02,4862,1.71,97293,0.57,50.27
France,2014,Diabetes,Neurological,10.55,12.32,7.48,19-35,Female,984005,92.33,3.74,6.41,Medication,26271,Yes,77.5,870,4.13,81336,0.78,74.52
Germany,2016,Diabetes,Parasitic,5.25,11.86,5.59,0-18,Female,237068,65.97,2.73,2.87,Vaccination,23213,Yes,78.52,2961,2.64,90435,0.6,80.83
China,2006,Diabetes,Metabolic,11.53,3.13,1.15,0-18,Female,139707,70.58,0.72,4.6,Vaccination,44660,No,90.43,2428,6.62,80468,0.41,70.53
Russia,2020,Diabetes,Viral,14.76,0.22,5.6,0-18,Female,367641,53.95,2.06,7.02,Medication,21970,No,83.26,370,0.98,41731,0.41,53.37
Indonesia,2007,Diabetes,Bacterial,0.91,8.58,0.87,36-60,Female,632907,72.13,3.41,9.73,Therapy,35321,Yes,77.92,3027,6.44,49546,0.85,80.1
USA,2019,Diabetes,Autoimmune,19.94,14.35,0.92,19-35,Male,709108,99.75,4.02,2.72,Therapy,49348,Yes,89.45,498,9.46,45872,0.76,37.51
Saudi Arabia,2021,Diabetes,Metabolic,7.89,9.94,3.74,36-60,Female,684974,54.42,3.98,4.89,Therapy,13749,No,66.7,205,0.2,17347,0.58,87.77
France,2015,Diabetes,Neurological,7.46,8.24,0.74,36-60,Male,528755,50.47,4.49,2.83,Vaccination,33336,No,52.07,367,0.69,96278,0.42,67.76
Canada,2019,Diabetes,Cardiovascular,18.69,4.42,0.42,36-60,Other,390852,75.38,2.54,2.68,Medication,22900,No,82.92,4847,1.38,8942,0.72,82.28
Mexico,2015,Diabetes,Cardiovascular,16.98,3.93,0.25,36-60,Other,922708,79.96,0.63,2.49,Surgery,9898,Yes,92.41,2948,9.28,65493,0.9,52.34
Italy,2019,Diabetes,Neurological,7.64,3.52,1.43,0-18,Male,843542,86.9,1.31,6.63,Surgery,5616,No,95.67,4098,4.43,46858,0.82,71.05
Germany,2024,Diabetes,Respiratory,12.86,11.46,2.71,19-35,Male,975387,77.02,4.58,5.01,Vaccination,29089,No,58.3,3252,6.25,50265,0.44,40.57
South Korea,2022,Diabetes,Parasitic,12.68,9.96,9.46,0-18,Male,854007,69.31,2.07,2.65,Medication,11007,Yes,88.62,340,8.02,17007,0.75,22.65
South Africa,2018,Diabetes,Viral,13.61,3.37,3.66,19-35,Other,877816,59.88,3.45,1.96,Vaccination,33481,Yes,86.26,4185,7.78,9904,0.72,41.37
Japan,2001,Diabetes,Infectious,4.73,8.93,3.36,61+,Other,655218,99.65,4.02,6.89,Vaccination,22786,No,69.41,3954,9.04,36705,0.49,31.16
Argentina,2019,Diabetes,Respiratory,9.85,13.39,5.5,19-35,Male,739209,74.24,0.94,2.77,Therapy,10471,No,83.72,2046,0.75,23505,0.63,22.89
France,2013,Diabetes,Metabolic,11.34,14.6,5.27,61+,Male,112294,56.8,0.56,6.65,Vaccination,33843,Yes,97.6,822,8.5,70219,0.6,83.55
USA,2009,Diabetes,Bacterial,9.32,14.57,0.38,61+,Female,394833,98.42,0.84,8.05,Vaccination,12058,No,76.25,3767,0.11,14871,0.86,54.45
Saudi Arabia,2002,Diabetes,Parasitic,3.95,6.44,1.34,61+,Other,353658,73.25,4.69,5.16,Medication,11495,No,75.45,1952,1.23,73497,0.83,67.68
Nigeria,2006,Diabetes,Cardiovascular,7.39,7.82,2.73,61+,Male,270920,57.94,0.73,1.42,Medication,7384,No,73.85,1262,4.67,92151,0.49,86.3
Turkey,2012,Diabetes,Parasitic,1.42,2.45,8.94,61+,Male,562931,87.97,1.79,3.49,Medication,27808,No,55.0,1024,9.53,5885,0.4,70.83
China,2018,Diabetes,Viral,1.74,7.05,2.69,19-35,Male,125266,58.36,3.16,7.78,Therapy,15859,No,95.35,214,3.09,33572,0.51,80.65
Brazil,2019,Diabetes,Genetic,6.41,8.24,7.65,36-60,Female,435133,93.16,1.42,7.34,Surgery,48693,No,83.12,4063,2.42,13745,0.87,60.38
South Africa,2000,Diabetes,Viral,16.03,4.76,4.83,0-18,Female,893184,99.29,3.48,1.43,Medication,15260,Yes,51.75,4410,3.78,88731,0.89,43.38
China,2023,Diabetes,Chronic,8.17,12.99,4.98,19-35,Other,861087,81.64,1.34,3.42,Therapy,8056,Yes,50.26,3703,8.48,34282,0.5,71.33
South Korea,2014,Diabetes,Genetic,18.96,1.52,3.88,19-35,Other,485026,85.57,0.95,1.68,Surgery,11201,Yes,68.56,2529,4.91,26593,0.44,58.66
Germany,2016,Diabetes,Bacterial,10.12,9.67,4.66,36-60,Male,755012,74.21,2.64,3.25,Vaccination,32805,No,55.44,3873,8.18,81640,0.71,53.96
South Korea,2003,Diabetes,Chronic,5.86,5.99,4.12,36-60,Female,886426,57.51,2.24,9.46,Vaccination,21948,Yes,72.21,1702,0.77,83980,0.79,48.18
Argentina,2007,Diabetes,Genetic,17.85,6.51,7.25,61+,Male,811055,77.2,3.41,6.6,Medication,14366,Yes,98.8,2925,0.27,45906,0.59,27.25
Argentina,2014,Diabetes,Bacterial,9.09,2.25,7.29,36-60,Other,454187,53.02,3.59,4.36,Medication,41831,No,74.08,2245,8.86,43342,0.51,40.6
Turkey,2004,Diabetes,Neurological,11.36,14.29,9.44,61+,Male,814025,83.71,3.94,4.64,Medication,23097,Yes,76.13,4463,9.7,35534,0.86,62.42
Turkey,2016,Diabetes,Autoimmune,15.03,8.36,6.08,61+,Male,101087,55.66,1.17,1.7,Medication,13876,No,65.36,4643,9.73,93365,0.51,22.88
Argentina,2000,Diabetes,Metabolic,9.18,1.55,6.05,0-18,Male,858709,60.31,1.95,3.13,Medication,8614,Yes,78.73,600,6.08,76573,0.57,24.39
Japan,2004,Diabetes,Autoimmune,8.97,2.91,3.93,36-60,Male,596720,58.52,1.62,3.61,Vaccination,21471,No,81.12,2858,5.5,40023,0.82,82.15
Australia,2007,Diabetes,Chronic,14.2,11.2,6.09,0-18,Female,127682,76.51,1.21,4.15,Vaccination,13821,No,57.31,1350,6.87,75303,0.79,77.87
Japan,2004,Diabetes,Autoimmune,15.82,5.75,1.46,36-60,Male,618617,88.22,3.61,7.74,Medication,21041,No,89.65,1892,5.1,20008,0.52,70.47
Italy,2021,Diabetes,Respiratory,7.85,5.09,9.9,61+,Male,839823,73.31,2.32,1.01,Surgery,16282,Yes,59.35,2432,6.2,31203,0.88,45.97
Russia,2009,Diabetes,Metabolic,6.44,4.96,8.56,61+,Male,289568,86.81,4.44,6.94,Vaccination,38175,Yes,92.43,356,2.32,2866,0.42,84.68
Japan,2000,Diabetes,Cardiovascular,15.97,3.4,3.4,19-35,Female,223729,92.67,1.36,3.28,Surgery,38168,Yes,56.9,566,9.79,99512,0.58,22.16
China,2011,Diabetes,Metabolic,6.01,1.5,8.12,61+,Female,599959,70.89,3.85,9.55,Vaccination,23340,No,50.56,1771,9.4,82303,0.69,52.13
South Korea,2015,Diabetes,Infectious,0.51,11.62,2.13,0-18,Male,213686,84.32,3.83,6.4,Surgery,40245,Yes,50.1,3336,8.91,37934,0.8,27.31
Turkey,2022,Diabetes,Chronic,10.88,5.48,8.98,0-18,Female,661945,76.39,3.5,2.51,Therapy,10785,No,90.59,3718,2.3,80435,0.77,28.79
Canada,2022,Diabetes,Genetic,15.16,4.03,2.85,19-35,Other,213638,97.93,1.06,1.79,Medication,12420,No,87.01,1745,9.09,17224,0.69,55.89
Italy,2004,Diabetes,Neurological,13.58,13.35,2.26,0-18,Other,263256,94.31,1.81,1.47,Medication,10260,No,96.12,3065,3.27,74039,0.76,29.39
India,2013,Diabetes,Cardiovascular,14.79,13.65,6.7,19-35,Female,610489,63.94,0.93,9.01,Medication,49859,Yes,63.9,3528,6.26,18382,0.84,86.72
Brazil,2018,Diabetes,Cardiovascular,8.8,6.11,6.05,36-60,Other,730526,79.65,3.63,1.24,Therapy,7217,Yes,76.01,3606,5.86,16548,0.56,64.19
Mexico,2024,Diabetes,Infectious,1.72,10.81,8.55,0-18,Other,361366,83.26,3.34,3.16,Therapy,46911,No,86.96,3169,4.72,3236,0.78,74.96
South Africa,2015,Diabetes,Viral,19.71,4.06,9.84,19-35,Female,186841,78.66,2.79,4.4,Vaccination,4276,Yes,92.74,2388,6.22,10367,0.72,89.0
Nigeria,2022,Diabetes,Parasitic,10.87,6.41,1.19,0-18,Male,426630,53.71,3.99,4.89,Vaccination,15398,Yes,56.98,2382,3.61,83934,0.46,39.47
Germany,2009,Diabetes,Viral,5.15,11.02,5.23,61+,Female,923184,55.2,0.77,4.41,Vaccination,14804,No,60.18,3915,1.52,63512,0.56,56.38
Nigeria,2017,Diabetes,Autoimmune,6.05,8.44,8.21,0-18,Other,158093,77.66,0.58,9.34,Therapy,47519,No,57.36,4655,7.46,72635,0.43,52.55
Germany,2013,Diabetes,Neurological,0.93,0.73,5.47,19-35,Female,867581,87.52,2.9,1.49,Medication,11927,No,67.69,4380,9.23,16346,0.84,68.08
Japan,2018,Diabetes,Bacterial,19.81,12.25,9.03,61+,Other,769600,66.36,2.28,9.75,Medication,34546,No,75.68,2695,4.22,14514,0.72,21.16
South Korea,2008,Diabetes,Parasitic,15.08,9.78,4.48,36-60,Other,992540,98.31,4.73,5.52,Medication,8508,Yes,54.09,2608,3.02,78174,0.58,20.44
Japan,2007,Diabetes,Infectious,17.3,5.59,4.75,36-60,Male,517084,55.22,0.55,9.46,Surgery,43633,No,66.34,4052,3.07,79745,0.79,67.88
Germany,2018,Diabetes,Respiratory,4.0,11.6,5.2,36-60,Female,65430,84.01,3.89,1.05,Surgery,30747,No,92.13,2927,8.46,78750,0.89,61.98
Australia,2022,Diabetes,Parasitic,9.57,0.73,9.15,36-60,Female,31075,54.66,0.64,8.53,Therapy,29212,Yes,76.24,1190,6.34,87949,0.56,66.86
France,2004,Diabetes,Viral,17.96,6.47,7.13,0-18,Male,352418,54.97,4.69,2.31,Therapy,36793,Yes,98.34,1050,5.0,3590,0.45,21.21
Italy,2005,Diabetes,Metabolic,19.69,13.26,3.39,0-18,Male,312170,60.91,3.52,8.65,Therapy,22013,Yes,66.59,37,8.97,71430,0.65,27.18
USA,2000,Diabetes,Parasitic,12.99,14.91,4.92,36-60,Male,902571,52.83,3.55,0.95,Therapy,19998,Yes,75.03,3219,8.46,54364,0.54,42.02
Argentina,2019,Diabetes,Parasitic,0.66,10.52,3.51,61+,Female,909922,92.04,1.39,9.02,Medication,17177,Yes,68.85,4342,4.69,79907,0.85,31.21
Germany,2022,Diabetes,Metabolic,11.47,3.64,2.16,61+,Male,140663,55.66,3.24,1.43,Vaccination,47607,Yes,85.16,2398,0.45,29290,0.65,49.3
Australia,2017,Diabetes,Bacterial,5.76,14.26,7.37,0-18,Other,458356,89.11,4.95,0.67,Surgery,10553,Yes,61.58,4815,9.44,68714,0.62,35.36
Italy,2008,Diabetes,Neurological,11.12,9.95,9.95,19-35,Other,614748,78.64,4.57,7.03,Therapy,30134,No,85.65,2531,7.59,37477,0.84,82.42
